Cell	Twin	Case	Sample	index.sort	Clones
X164_PBMCs_others_F09	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_F10	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_F11	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_F12	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_G01	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_G02	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_G03	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_G04	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_G05	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_G06	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_G07	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_G08	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_G09	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_G10	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_G11	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_G12	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_H01	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_H02	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_H03	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_H04	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_H05	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_H06	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_H07	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_H08	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_H09	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_H10	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_H11	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_H12	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_rest_02_A01	164	HD	CSF	Rest	ND
X164_rest_02_A02	164	HD	CSF	CD3	ND
X164_rest_02_A03	164	HD	CSF	CD8Tcell	1
X164_rest_02_A04	164	HD	CSF	CD3	ND
X164_rest_02_A05	164	HD	CSF	CD8Tcell	1
X164_rest_02_A06	164	HD	CSF	CD4Tcell	1
X164_rest_02_A07	164	HD	CSF	CD8Tcell	1
X164_rest_02_A08	164	HD	CSF	CD4Tcell	1
X164_rest_02_A09	164	HD	CSF	Rest	ND
X164_rest_02_A10	164	HD	CSF	CD8Tcell	1
X164_rest_02_A11	164	HD	CSF	Rest	ND
X164_rest_02_A12	164	HD	CSF	Rest	ND
X164_rest_02_B01	164	HD	CSF	Rest	ND
X164_rest_02_B02	164	HD	CSF	Rest	ND
X164_rest_02_B03	164	HD	CSF	CD8Tcell	1
X164_rest_02_B04	164	HD	CSF	Rest	ND
X164_rest_02_B05	164	HD	CSF	Rest	ND
X164_rest_02_B06	164	HD	CSF	CD4Tcell	1
X164_rest_02_B07	164	HD	CSF	CD8Tcell	1
X164_rest_02_B08	164	HD	CSF	Rest	ND
X164_rest_02_B09	164	HD	CSF	Rest	ND
X164_rest_02_B10	164	HD	CSF	Rest	ND
X164_rest_02_B11	164	HD	CSF	CD8Tcell	1
X164_rest_02_B12	164	HD	CSF	CD8Tcell	1
X164_rest_02_C01	164	HD	CSF	Rest	ND
X164_rest_02_C02	164	HD	CSF	Rest	ND
X164_rest_02_C03	164	HD	CSF	Rest	ND
X164_rest_02_C04	164	HD	CSF	CD8Tcell	1
X164_rest_02_C05	164	HD	CSF	CD8Tcell	1
X164_rest_02_C06	164	HD	CSF	CD3	ND
X164_rest_02_C07	164	HD	CSF	CD4Tcell	1
X164_rest_02_C08	164	HD	CSF	Rest	ND
X164_rest_02_C09	164	HD	CSF	CD8Tcell	1
X164_rest_02_C10	164	HD	CSF	CD4Tcell	1
X164_rest_02_C11	164	HD	CSF	CD8Tcell	1
X164_rest_02_C12	164	HD	CSF	Rest	ND
X164_rest_02_D01	164	HD	CSF	Rest	ND
X164_rest_02_D02	164	HD	CSF	CD4Tcell	1
X164_rest_02_D03	164	HD	CSF	Rest	ND
X164_rest_02_D04	164	HD	CSF	Other	ND
X164_rest_02_D05	164	HD	CSF	CD8Tcell	1
X164_rest_02_D06	164	HD	CSF	CD4Tcell	1
X164_rest_02_D07	164	HD	CSF	CD8Tcell	1
X164_rest_02_D08	164	HD	CSF	Rest	ND
X164_rest_02_D09	164	HD	CSF	Rest	ND
X164_rest_02_D10	164	HD	CSF	CD8Tcell	1
X164_rest_02_D11	164	HD	CSF	Rest	ND
X164_rest_02_D12	164	HD	CSF	NK 	ND
X164_rest_02_E01	164	HD	CSF	CD8Tcell	1
X164_rest_02_E02	164	HD	CSF	CD8Tcell	1
X164_rest_02_E03	164	HD	CSF	Rest	ND
X164_rest_02_E04	164	HD	CSF	CD8Tcell	1
X164_rest_02_E05	164	HD	CSF	CD8Tcell	1
X164_rest_02_E06	164	HD	CSF	CD8Tcell	1
X164_rest_02_E07	164	HD	CSF	CD8Tcell	1
X164_rest_02_E08	164	HD	CSF	CD8Tcell	1
X164_rest_02_E09	164	HD	CSF	Rest	ND
X164_rest_02_E10	164	HD	CSF	CD8Tcell	1
X164_rest_02_E11	164	HD	CSF	Rest	ND
X164_rest_02_E12	164	HD	CSF	Rest	ND
X164_rest_02_F01	164	HD	CSF	Rest	1
X164_rest_02_F02	164	HD	CSF	Bcell 	1
X164_rest_02_F03	164	HD	CSF	Rest	ND
X164_rest_02_F04	164	HD	CSF	Rest	ND
X164_rest_02_F05	164	HD	CSF	Rest	ND
X164_rest_02_F06	164	HD	CSF	CD8Tcell	1
X164_rest_02_F07	164	HD	CSF	Bcell 	1
X164_rest_02_F08	164	HD	CSF	Rest	ND
X164_rest_02_F09	164	HD	CSF	Rest	ND
X164_rest_02_F10	164	HD	CSF	Rest	ND
X164_rest_02_F11	164	HD	CSF	CD8Tcell	1
X164_rest_02_F12	164	HD	CSF	CD3	ND
X164_rest_02_G01	164	HD	CSF	CD8Tcell	1
X164_rest_02_G02	164	HD	CSF	Rest	ND
X164_rest_02_G03	164	HD	CSF	Rest	ND
X164_rest_02_G04	164	HD	CSF	Rest	ND
X164_rest_02_G05	164	HD	CSF	Rest	ND
X164_rest_02_G06	164	HD	CSF	CD8Tcell	1
X164_rest_02_G07	164	HD	CSF	Rest	ND
X164_rest_02_G08	164	HD	CSF	CD8Tcell	1
X164_rest_02_G09	164	HD	CSF	CD8Tcell	1
X164_rest_02_G10	164	HD	CSF	Rest	ND
X164_rest_02_G11	164	HD	CSF	CD3	ND
X164_rest_02_G12	164	HD	CSF	CD4Tcell	1
X164_rest_02_H01	164	HD	CSF	CD8Tcell	1
X164_rest_02_H02	164	HD	CSF	Rest	ND
X164_rest_02_H03	164	HD	CSF	Rest	ND
X164_rest_02_H04	164	HD	CSF	Rest	ND
X164_rest_02_H05	164	HD	CSF	CD8Tcell	1
X164_rest_02_H06	164	HD	CSF	CD8Tcell	1
X164_rest_02_H07	164	HD	CSF	CD8Tcell	1
X164_rest_02_H08	164	HD	CSF	Rest	ND
X164_rest_02_H09	164	HD	CSF	Rest	ND
X164_rest_02_H10	164	HD	CSF	Rest	ND
X164_rest_02_H11	164	HD	CSF	Rest	ND
X164_rest_02_H12	164	HD	CSF	Rest	ND
X186_02_rest_A01	186	SCNI	CSF	CD3	ND
X186_02_rest_A02	186	SCNI	CSF	CD8Tcell	3
X186_02_rest_A03	186	SCNI	CSF	NK 	ND
X186_02_rest_A04	186	SCNI	CSF	Rest	ND
X186_02_rest_A05	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_A06	186	SCNI	CSF	NK 	ND
X186_02_rest_A07	186	SCNI	CSF	NK 	ND
X186_02_rest_A08	186	SCNI	CSF	Bcell 	1
X186_02_rest_A09	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_A10	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_A11	186	SCNI	CSF	CD4Tcell	1
X186_02_rest_A12	186	SCNI	CSF	Plasmablast	1
X186_02_rest_B01	186	SCNI	CSF	Other	ND
X186_02_rest_B02	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_B03	186	SCNI	CSF	Plasmablast	1
X186_02_rest_B04	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_B05	186	SCNI	CSF	NK 	ND
X186_02_rest_B06	186	SCNI	CSF	CD3	ND
X186_02_rest_B07	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_B08	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_B09	186	SCNI	CSF	CD3	ND
X186_02_rest_B10	186	SCNI	CSF	CD3	ND
X186_02_rest_B11	186	SCNI	CSF	CD4Tcell	1
X186_02_rest_B12	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_C01	186	SCNI	CSF	NK 	ND
X186_02_rest_C02	186	SCNI	CSF	Other	ND
X186_02_rest_C03	186	SCNI	CSF	CD3	ND
X186_02_rest_C04	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_C05	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_C06	186	SCNI	CSF	CD4Tcell	1
X186_02_rest_C07	186	SCNI	CSF	NK 	ND
X186_02_rest_C08	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_C09	186	SCNI	CSF	NK 	ND
X186_02_rest_C10	186	SCNI	CSF	CD4Tcell	1
X186_02_rest_C11	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_C12	186	SCNI	CSF	Other	ND
X186_02_rest_D01	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_D02	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_D03	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_D04	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_D05	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_D06	186	SCNI	CSF	CD4Tcell	1
X186_02_rest_D07	186	SCNI	CSF	Other	ND
X186_02_rest_D08	186	SCNI	CSF	NK 	ND
X186_02_rest_D09	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_D10	186	SCNI	CSF	NK 	ND
X186_02_rest_D11	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_D12	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_E01	186	SCNI	CSF	CD3	ND
X186_02_rest_E02	186	SCNI	CSF	CD4Tcell	1
X186_02_rest_E03	186	SCNI	CSF	NK 	ND
X186_02_rest_E04	186	SCNI	CSF	Other	ND
X186_02_rest_E05	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_E06	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_E07	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_E08	186	SCNI	CSF	CD3	ND
X186_02_rest_E09	186	SCNI	CSF	NK 	ND
X186_02_rest_E10	186	SCNI	CSF	CD4Tcell	2
X186_02_rest_E11	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_E12	186	SCNI	CSF	NK 	ND
X186_02_rest_F01	186	SCNI	CSF	CD3	ND
X186_02_rest_F02	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_F03	186	SCNI	CSF	CD3	ND
X186_02_rest_F04	186	SCNI	CSF	NK 	ND
X186_02_rest_F05	186	SCNI	CSF	NK 	ND
X186_02_rest_F06	186	SCNI	CSF	Other	ND
X186_02_rest_F07	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_F08	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_F09	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_F10	186	SCNI	CSF	CD3	ND
X186_02_rest_F11	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_F12	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_G01	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_G02	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_G03	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_G04	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_G05	186	SCNI	CSF	NK 	ND
X186_02_rest_G06	186	SCNI	CSF	Rest	1
X186_02_rest_G07	186	SCNI	CSF	NK 	ND
X186_02_rest_G08	186	SCNI	CSF	CD4Tcell	1
X186_02_rest_G09	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_G10	186	SCNI	CSF	NK 	ND
X186_02_rest_G11	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_G12	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_H01	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_H02	186	SCNI	CSF	Plasmablast	1
X186_02_rest_H03	186	SCNI	CSF	NK 	ND
X186_02_rest_H04	186	SCNI	CSF	CD4Tcell	1
X186_02_rest_H05	186	SCNI	CSF	Other	ND
X186_02_rest_H06	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_H07	186	SCNI	CSF	Other	ND
X186_02_rest_H08	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_H09	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_H10	186	SCNI	CSF	Rest	ND
X186_02_rest_H11	186	SCNI	CSF	CD8Tcell	1
X186_02_rest_H12	186	SCNI	CSF	Rest	ND
X186_03_rest_A01	186	SCNI	CSF	NK 	ND
X186_03_rest_A02	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_A03	186	SCNI	CSF	CD8Tcell	3
X186_03_rest_A04	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_A05	186	SCNI	CSF	NK 	ND
X186_03_rest_A06	186	SCNI	CSF	CD3	ND
X186_03_rest_A07	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_A08	186	SCNI	CSF	NK 	ND
X186_03_rest_A09	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_A10	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_A11	186	SCNI	CSF	NK 	ND
X186_03_rest_A12	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_B01	186	SCNI	CSF	CD3	ND
X186_03_rest_B02	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_B03	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_B04	186	SCNI	CSF	Other	ND
X186_03_rest_B05	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_B06	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_B07	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_B08	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_B09	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_B10	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_B11	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_B12	186	SCNI	CSF	Other	ND
X186_03_rest_C01	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_C02	186	SCNI	CSF	Rest	ND
X186_03_rest_C03	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_C04	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_C05	186	SCNI	CSF	Other	ND
X186_03_rest_C06	186	SCNI	CSF	Bcell 	1
X186_03_rest_C07	186	SCNI	CSF	NK 	ND
X186_03_rest_C08	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_C09	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_C10	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_C11	186	SCNI	CSF	Other	ND
X186_03_rest_C12	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_D01	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_D02	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_D03	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_D04	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_D05	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_D06	186	SCNI	CSF	CD3	ND
X186_03_rest_D07	186	SCNI	CSF	NK 	ND
X186_03_rest_D08	186	SCNI	CSF	NK 	ND
X186_03_rest_D09	186	SCNI	CSF	NK 	ND
X186_03_rest_D10	186	SCNI	CSF	Other	ND
X186_03_rest_D11	186	SCNI	CSF	NK 	ND
X186_03_rest_D12	186	SCNI	CSF	NK 	ND
X186_03_rest_E01	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_E02	186	SCNI	CSF	CD3	ND
X186_03_rest_E03	186	SCNI	CSF	NK 	ND
X186_03_rest_E04	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_E05	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_E06	186	SCNI	CSF	CD3	ND
X186_03_rest_E07	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_E08	186	SCNI	CSF	CD3	ND
X186_03_rest_E09	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_E10	186	SCNI	CSF	NK 	ND
X186_03_rest_E11	186	SCNI	CSF	NK 	ND
X186_03_rest_E12	186	SCNI	CSF	NK 	ND
X186_03_rest_F01	186	SCNI	CSF	Plasmablast	1
X186_03_rest_F02	186	SCNI	CSF	Bcell 	1
X186_03_rest_F03	186	SCNI	CSF	CD8Tcell	3
X186_03_rest_F04	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_F05	186	SCNI	CSF	NK 	ND
X186_03_rest_F06	186	SCNI	CSF	NK 	ND
X186_03_rest_F07	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_F08	186	SCNI	CSF	Bcell 	1
X186_03_rest_F09	186	SCNI	CSF	Other	ND
X186_03_rest_F10	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_F11	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_F12	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_G01	186	SCNI	CSF	NK 	ND
X186_03_rest_G02	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_G03	186	SCNI	CSF	NK 	ND
X186_03_rest_G04	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_G05	186	SCNI	CSF	CD3	ND
X186_03_rest_G06	186	SCNI	CSF	CD3	ND
X186_03_rest_G07	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_G08	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_G09	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_G10	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_G11	186	SCNI	CSF	CD3	ND
X186_03_rest_G12	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_H01	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_H02	186	SCNI	CSF	CD3	ND
X186_03_rest_H03	186	SCNI	CSF	NK 	ND
X186_03_rest_H04	186	SCNI	CSF	Bcell 	1
X186_03_rest_H05	186	SCNI	CSF	Plasmablast	1
X186_03_rest_H06	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_H07	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_H08	186	SCNI	CSF	NK 	ND
X186_03_rest_H09	186	SCNI	CSF	CD3	ND
X186_03_rest_H10	186	SCNI	CSF	CD8Tcell	1
X186_03_rest_H11	186	SCNI	CSF	CD4Tcell	1
X186_03_rest_H12	186	SCNI	CSF	Rest	ND
X186_CD4_05_A01	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_A02	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_A03	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_A04	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_A05	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_A06	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_A07	186	SCNI	CSF	CD4Tcell	2
X186_CD4_05_A08	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_A09	186	SCNI	CSF	CD4Tcell	2
X186_CD4_05_A10	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_A11	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_A12	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_B01	186	SCNI	CSF	CD4Tcell	2
X186_CD4_05_B02	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_B03	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_B04	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_B05	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_B06	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_B07	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_B08	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_B09	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_B10	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_B11	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_B12	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C01	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C02	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C03	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C04	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C05	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C06	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C07	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C08	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C09	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C10	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C11	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_C12	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_D01	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_D02	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_D03	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_D04	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_D05	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_D06	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_D07	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_D08	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_D09	186	SCNI	CSF	CD4	ND
X186_CD4_05_D10	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_D11	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_D12	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_E01	186	SCNI	CSF	CD4Tcell	2
X186_CD4_05_E02	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_E03	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_E04	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_E05	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_E06	186	SCNI	CSF	CD4	ND
X186_CD4_05_E07	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_E08	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_E09	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_E10	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_E11	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_E12	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F01	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F02	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F03	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F04	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F05	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F06	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F07	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F08	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F09	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F10	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F11	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_F12	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G01	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G02	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G03	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G04	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G05	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G06	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G07	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G08	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G09	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G10	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G11	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_G12	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_H01	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_H02	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_H03	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_H04	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_H05	186	SCNI	CSF	CD4	ND
X186_CD4_05_H06	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_H07	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_H08	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_H09	186	SCNI	CSF	CD4	ND
X186_CD4_05_H10	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_H11	186	SCNI	CSF	CD4Tcell	1
X186_CD4_05_H12	186	SCNI	CSF	CD4	ND
X301_02_A01	301	MS	CSF	CD8Tcell	1
X301_02_A02	301	MS	CSF	Plasmablast	1
X301_02_A03	301	MS	CSF	CD8Tcell	1
X301_02_A04	301	MS	CSF	CD8Tcell	1
X301_02_A05	301	MS	CSF	Rest	ND
X301_02_A06	301	MS	CSF	Plasmablast	3
X301_02_A07	301	MS	CSF	CD4Tcell	1
X301_02_A08	301	MS	CSF	CD8Tcell	3
X301_02_A09	301	MS	CSF	NK 	ND
X301_02_A10	301	MS	CSF	Bcell 	1
X301_02_A11	301	MS	CSF	CD3	ND
X301_02_A12	301	MS	CSF	Rest	ND
X301_02_B01	301	MS	CSF	CD8Tcell	2
X301_02_B02	301	MS	CSF	CD4Tcell	1
X301_02_B03	301	MS	CSF	CD8Tcell	3
X301_02_B04	301	MS	CSF	Rest	ND
X301_02_B05	301	MS	CSF	Bcell 	1
X301_02_B06	301	MS	CSF	CD8Tcell	1
X301_02_B07	301	MS	CSF	CD8Tcell	1
X301_02_B08	301	MS	CSF	CD8Tcell	1
X301_02_B09	301	MS	CSF	CD8Tcell	1
X301_02_B10	301	MS	CSF	NK 	ND
X301_02_B11	301	MS	CSF	CD8Tcell	1
X301_02_B12	301	MS	CSF	NK 	ND
X301_02_C01	301	MS	CSF	Plasmablast	2
X301_02_C02	301	MS	CSF	CD4Tcell	1
X301_02_C03	301	MS	CSF	NK 	ND
X301_02_C04	301	MS	CSF	NK 	ND
